,name,named_after,label,x,y
3221,Brest,Brest,city,52.084722222222,23.656944444444
3225,Meizhou,Meizhou,city,24.29977,116.11913
3229,Bakhchisaraj,Bakhchysarai,administrative territorial entity,44.752777777778,33.860833333333
3239,Musashino,Musashino,city,35.7177222222222,139.566055555556
3243,Miune,Mount Miune,natural geographic object,33.839444444444,133.9875
3245,Bounty,HMS Bounty,disaster remains,-25.0686111111111,-130.095277777778
3252,Maillen,Maillen,human settlement,50.378611111111,4.9705555555556
3258,Porta Coeli,Porta coeli Convent,architectural structure,49.3531,16.4008
3264,Azabu,Azabu,human-geographic territorial entity,35.654646,139.737082
3266,Bosque Alegre,Bosque Alegre ground station,architectural structure,-31.60634,-64.56899
3272,Hong Kong,Hong Kong,city,22.278333333333,114.15861111111
3291,Massandra,Massandra,administrative divisions of Russia,44.516666666667,34.183333333333
3295,Brorfelde,Brorfelde Observatory,observatory,55.62466111,11.66473889
3296,Namba,Osaka,city,34.69375,135.502111111111
3310,Gantrisch,Gantrisch,natural geographic object,46.705166666667,7.4505
3312,Quanzhou,Quanzhou,city,24.91389,118.58583
3316,Recogne,Recogne,geographical feature,49.9114,5.36
3322,Koktebelia,Koktebel,urban-type settlement,44.96,35.240555555556
3324,Namur,Namur,city,50.466666666667,4.8666666666667
3333,Klementinum,Clementinum,geographical feature,50.086666666667,14.416388888889
3337,Omsk,Omsk,city,54.966666666667,73.383333333333
3345,Kobuchizawa,Kobuchisawa,former municipality,35.8624444444444,138.318944444444
3347,Inarradas,Argentine Institute of Radio Astronomy,observatory,-34.867,-58.14
3348,Pochaina,Pochaina,stream,50.4906,30.5052
3350,Sapporo,Sapporo,city,43.0619444444444,141.354444444444
3359,Dongguan,Dongguan,city,23.04749,113.74928
3364,Kazbegi,Mount Kazbek,natural geographic object,42.6969444444445,44.5188888888889
3368,Lesnaya,Battle of Lesnaya,combat,53.5422222222222,30.915
3373,Purple Mountain,Purple Mountain Observatory,observatory,32.0669166666667,118.824972222222
3374,Colchagua,Colchagua Province,former administrative territorial entity,-34.6833333333333,-71.15
3377,Huangpu,Huangpu District,county-level division,31.2331,121.485
3380,Sanshui,Sanshui District,county-level division,23.239444,112.897778
3383,Eriepa,Erie,city,42.129561111111,-80.085213888889
3390,Weimar,Weimar,city,50.9811111111111,11.3294444444444
3397,Ningbo,Ningbo,city,29.875,121.54916666667
3416,Borodino,"Borodino (village), Mozhaysky District, Moscow Oblast",dwelling place,55.526944444444,35.821111111111
3421,Canterbury,Canterbury Province,province,-43.529452777778,172.63389444444
3424,Ojima,Ojima,former municipality,36.2625833333333,139.300916666667
3426,Burdett,Burdett,city,38.1933,-99.5264
3429,Loyola,Loyola,geographical feature,43.1711,-2.27806
3433,Dabu,Dabu County,county-level division,24.35549,116.6912
3434,Grachevka,Grachevka,locality,52.105555555556,40.0175
3437,Williams Bay,Williams Bay,administrative territorial entity of Wisconsin,42.5780555555556,-88.5408333333333
3439,Kunming,Kunming,city,25.043333333333,102.70611111111
3443,AAS,American Astronomical Society,publishing company,38.903,-77.0384
3449,Ellensburg,Ellensburg,city,46.997064,-120.545119
3452,Hokkaido,Hokkaido,island,43.4605555555556,142.792222222222
3453,Yangzhou,Yangzhou,city,32.39117,119.43625
3457,Trebon,Třeboň,municipality of the Czech Republic,49.003709466138,14.770659141428
3467,Heyuan,Heyuan,city,23.75033,114.69229
3471,Vartiovuori,Vartiovuorenmäki,landform,60.44829,22.27598
3477,Celle,Celle,city,52.625555555556,10.0825
3485,Kitami,Kitami Observatory,observatory,43.8182,143.9037
3486,Novgorod,Veliky Novgorod,city,58.52099,31.27579
3495,Dornburg,Dornburg/Saale,geographic location,51.006388888889,11.666111111111
3498,Aoraki,Aoraki / Mount Cook,landform,-43.595,170.141944444444
3503,Yorii,Yorii,second-level administrative division,36.1183333333333,139.192972222222
3506,Nurnberg,Nuremberg,city,49.4538888888889,11.0775
3511,Gunma,Gunma Prefecture,region,36.39,139.06
3516,Trelleborg,Trelleborg,administrative territorial entity,55.372346268872,13.181197587195
