name,named_after,sex_or_gender,date_of_birth,date_of_death
Rusthawelia,Shota Rustaveli,male,1172-01-01T00:00:00Z,1216-01-01T00:00:00Z
Gonnessia,François Gonnessiat,male,1856-05-22T00:00:00Z,1934-10-18T00:00:00Z
Lilith,Lili Boulanger,female,1893-08-21T00:00:00Z,1918-03-15T00:00:00Z
Turnera,Herbert Hall Turner,male,1861-08-13T00:00:00Z,1930-08-20T00:00:00Z
Pelagia,Pelageya Shajn,female,1894-04-19T00:00:00Z,1956-08-27T00:00:00Z
Marina,Marina Lavrova-Berg,female,1897-10-30T00:00:00Z,1942-09-28T00:00:00Z
Ebella,Carl Wilhelm Ludwig Martin Ebell,male,1871-04-29T00:00:00Z,1944-11-28T00:00:00Z
Numerowia,Boris Numerov,male,1891-01-17T00:00:00Z,1941-01-01T00:00:00Z
Ostenia,Hans Osten,male,1875-03-31T00:00:00Z,1936-03-29T00:00:00Z
Morosovia,Nikolay Morozov,male,1854-06-25T00:00:00Z,1946-07-30T00:00:00Z
Boyer,Louis Boyer,male,1901-01-20T00:00:00Z,1999-01-01T00:00:00Z
Golia,Jacobus Golius,male,1596-01-01T00:00:00Z,1667-09-28T00:00:00Z
Thais,Thaïs,female,0400-01-01T00:00:00Z,0400-01-01T00:00:00Z
Queteleta,Adolphe Quetelet,male,1796-02-22T00:00:00Z,1874-02-17T00:00:00Z
Dysona,Frank Watson Dyson,male,1868-01-08T00:00:00Z,1939-05-25T00:00:00Z
Chaka,Shaka Zulu,male,1787-07-01T00:00:00Z,1828-09-22T00:00:00Z
Jugurtha,Jugurtha,male,0160-01-01T00:00:00Z,0104-01-01T00:00:00Z
Rutherfordia,Ernest Rutherford,male,1871-08-30T00:00:00Z,1937-10-19T00:00:00Z
Schilowa,Maria Zhilova,female,1871-01-09T00:00:00Z,1934-05-16T00:00:00Z
Mora,Károly Móra,male,1899-09-30T00:00:00Z,1938-03-29T00:00:00Z
Sniadeckia,Jan Śniadecki,male,1756-08-29T00:00:00Z,1830-11-09T00:00:00Z
Rollandia,Romain Rolland,male,1866-01-29T00:00:00Z,1944-12-30T00:00:00Z
Delportia,Eugène Joseph Delporte,male,1882-01-10T00:00:00Z,1955-10-19T00:00:00Z
Dolores,Dolores Ibárruri,female,1895-12-09T00:00:00Z,1989-11-12T00:00:00Z
Baillauda,Jules Baillaud,male,1876-01-14T00:00:00Z,1960-11-28T00:00:00Z
Banachiewicza,Tadeusz Banachiewicz,male,1882-02-13T00:00:00Z,1954-11-17T00:00:00Z
Phryne,Phryne,female,0371-01-01T00:00:00Z,0310-01-01T00:00:00Z
Mertona,Gerald Merton,male,1893-01-21T00:00:00Z,1983-05-04T00:00:00Z
Luthera,Robert Luther,male,1822-04-16T00:00:00Z,1900-02-15T00:00:00Z
Halleria,Albrecht von Haller,male,1708-10-16T00:00:00Z,1777-12-12T00:00:00Z
Knopfia,Otto Knopf,male,1856-09-24T00:00:00Z,1945-09-20T00:00:00Z
Bronislawa,Bronisław Markiewicz,male,1842-07-13T00:00:00Z,1912-01-29T00:00:00Z
Coppernicus,Nicolaus Copernicus,male,1473-02-19T00:00:00Z,1543-05-24T00:00:00Z
Marconia,Guglielmo Marconi,male,1874-04-25T00:00:00Z,1937-07-20T00:00:00Z
Lundmarka,Knut Lundmark,male,1889-06-14T00:00:00Z,1958-04-23T00:00:00Z
Edmee,Édmée Chandon,female,1885-11-21T00:00:00Z,1944-03-10T00:00:00Z
Botha,Louis Botha,male,1862-09-27T00:00:00Z,1919-08-27T00:00:00Z
Khama,Khama III,male,1837-01-01T00:00:00Z,1923-02-21T00:00:00Z
Leuschneria,Armin Otto Leuschner,male,1868-01-16T00:00:00Z,1953-04-22T00:00:00Z
Herberta,Herbert Hoover,male,1874-08-10T00:00:00Z,1964-10-20T00:00:00Z
Henyey,Louis G. Henyey,male,1910-02-03T00:00:00Z,1970-02-18T00:00:00Z
Lomonosowa,Mikhail Lomonosov,male,1711-11-08T00:00:00Z,1765-04-04T00:00:00Z
Donnera,Anders Donner,male,1854-11-05T00:00:00Z,1938-04-15T00:00:00Z
Eri,Erika Schattschneider,female,1913-04-16T00:00:00Z,1978-01-01T00:00:00Z
Idelsonia,Naum Idelson,male,1885-03-01T00:00:00Z,1951-07-14T00:00:00Z
Sibelius,Jean Sibelius,male,1865-12-08T00:00:00Z,1957-09-20T00:00:00Z
Komppa,Gustaf Komppa,male,1867-07-28T00:00:00Z,1949-01-20T00:00:00Z
Lindelof,Ernst Leonard Lindelöf,male,1870-03-07T00:00:00Z,1946-06-04T00:00:00Z
Lagrula,Joanny-Philippe Lagrula,male,1870-10-23T00:00:00Z,1941-01-01T00:00:00Z
Fayeta,Gaston Fayet,male,1874-06-05T00:00:00Z,1967-12-27T00:00:00Z
Stromgrenia,Elis Strömgren,male,1870-05-31T00:00:00Z,1947-04-05T00:00:00Z
Sundmania,Karl F. Sundman,male,1873-10-28T00:00:00Z,1949-09-28T00:00:00Z
Vogtia,Heinrich Vogt,male,1890-10-05T00:00:00Z,1968-01-23T00:00:00Z
Rostia,Georg Rost,male,1870-02-26T00:00:00Z,1958-09-03T00:00:00Z
Bolyai,János Bolyai,male,1802-12-15T00:00:00Z,1860-01-27T00:00:00Z
Corvina,Matthias Corvinus,male,1443-02-24T00:00:00Z,1490-04-06T00:00:00Z
Konkolya,Miklos von Konkoly-Thege,male,1842-01-20T00:00:00Z,1916-02-17T00:00:00Z
Sillanpaa,Frans Eemil Sillanpää,male,1888-09-16T00:00:00Z,1964-06-03T00:00:00Z
Lindbladia,Bertil Lindblad,male,1895-11-26T00:00:00Z,1965-06-25T00:00:00Z
Virtanen,Artturi Ilmari Virtanen,male,1895-01-15T00:00:00Z,1973-11-11T00:00:00Z
Raimonda,"Jean Jacques Raimond, Jr.",male,1903-04-13T00:00:00Z,1961-12-03T00:00:00Z
Grano,Johannes Gabriel Granö,male,1882-03-14T00:00:00Z,1956-02-23T00:00:00Z
Mitchella,Maria Mitchell,female,1818-08-01T00:00:00Z,1889-06-29T00:00:00Z
Mineura,Adolphe Mineur,male,1867-07-06T00:00:00Z,1950-02-04T00:00:00Z
Zamenhof,L. L. Zamenhof,male,1859-12-15T00:00:00Z,1917-04-14T00:00:00Z
Nordenmarkia,Nils Nordenmark,male,1867-04-15T00:00:00Z,1962-02-02T00:00:00Z
Mundleria,Max Mündler,male,1876-09-21T00:00:00Z,1969-03-13T00:00:00Z
Cox,Jacques Cox,male,1898-08-16T00:00:00Z,1972-10-20T00:00:00Z
Bonsdorffia,Ilmari Bonsdorff,male,1879-02-15T00:00:00Z,1950-10-17T00:00:00Z
Sebastiana,Sebastian Finsterwalder,male,1862-10-04T00:00:00Z,1951-12-04T00:00:00Z
Boda,Karl Boda,male,1889-05-21T00:00:00Z,1942-02-25T00:00:00Z
Attila,Attila,male,0500-01-01T00:00:00Z,0453-01-01T00:00:00Z
Balduinus,Baudouin I of Belgium,male,1930-09-07T00:00:00Z,1993-07-31T00:00:00Z
Oppolzer,Theodor von Oppolzer,male,1841-10-26T00:00:00Z,1886-12-26T00:00:00Z
Baade,Walter Baade,male,1893-03-24T00:00:00Z,1960-06-25T00:00:00Z
Arenda,Sylvain Arend,male,1902-08-06T00:00:00Z,1992-02-18T00:00:00Z
Esclangona,Ernest Esclangon,male,1876-03-17T00:00:00Z,1954-01-28T00:00:00Z
Charlois,Auguste Charlois,male,1864-11-26T00:00:00Z,1910-03-26T00:00:00Z
Perrotin,Henri Joseph Anastase Perrotin,male,1845-12-19T00:00:00Z,1904-02-29T00:00:00Z
Malmquista,Gunnar Malmquist,male,1893-02-21T00:00:00Z,1982-06-27T00:00:00Z
Conrada,Fritz Conrad,male,1883-04-18T00:00:00Z,1944-01-01T00:00:00Z
Oterma,Liisi Oterma,female,1915-01-06T00:00:00Z,2001-04-04T00:00:00Z
Rantaseppa,Hilkka Rantaseppä-Helenius,female,1925-01-01T00:00:00Z,1975-05-07T00:00:00Z
