"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20000939,"   939 Isberga (A920 TD)",939,Isberga,,N,N,1,12.07,,,,,,,10.390,,0.228,2.9173,,0.930,0.540,,,S,,0.18,"JPL 65",2460800.5,60800,2025-05-05.0,J2000,0.1763,2.247,1.851,2.58,327.03,6.21,45.31,2.64,0.2926,2460645.68,2024-12-01.1,1.23e+03,3.37,0.84,327,2.7,3.61,5.6e-10,4.7e-10,1.2e-09,4.8e-08,5.4e-07,6.1e-07,4.4e-07,5.6e-10,9.2e-11,1.5e-06,3.9e-07,MBA,"Otto Matic",38066,1920-10-04,2024-12-23,8054,,,0,.31639,,,,,,,,,
20001016,"  1016 Anitra (A924 CG)",1016,Anitra,,N,N,1,11.89,,,,,,,9.539,,0.308,5.92951,,,,,S,,,0.08,"JPL 64",2460800.5,60800,2025-05-05.0,J2000,0.1275,2.219,1.936,6.04,8.80,53.32,290.70,2.50,0.2981,2461032.97,2025-12-23.4,1.21e+03,3.31,0.955,372,2.8,3.63,9.4e-10,8.4e-10,2.5e-09,3.4e-08,4.5e-07,6.3e-07,8.2e-07,9.4e-10,1.7e-10,2.9e-06,6.8e-07,MBA,"Otto Matic",36794,1924-02-01,2024-10-27,4734,,,0,.39833,,,,,,,,,
20001052,"  1052 Belgica (1925 VD)",1052,Belgica,,N,N,1,11.89,,,,,,,9.785,,0.301,2.7097,,0.900,0.540,,S,S,,0.12,"JPL 76",2460800.5,60800,2025-05-05.0,J2000,0.1431,2.236,1.916,4.70,99.54,297.78,284.61,2.56,0.2947,2461056.30,2026-01-15.8,1.22e+03,3.34,0.929,361,2.85,3.62,6.7e-10,5.3e-10,1.4e-09,6.8e-08,4.7e-07,5.4e-07,5.3e-07,6.1e-10,1.1e-10,1.9e-06,4.4e-07,MBA,"Otto Matic",42356,1908-10-03,2024-09-20,5137,,,0,.34742,,,,,,,,,
20001089,"  1089 Tama (1927 WB)",1089,Tama,,N,N,1,11.64,,,,,,,13.082,,0.216,16.44,,,,,,,,0.37,"JPL 98",2460800.5,60800,2025-05-05.0,J2000,0.1271,2.214,1.933,3.73,71.45,354.47,200.38,2.50,0.2991,2461334.13,2026-10-20.6,1.2e+03,3.29,0.946,368,2.77,3.64,1.2e-09,5.4e-10,2.8e-09,4.9e-08,6.1e-07,6.5e-07,4.3e-07,6.1e-10,1.1e-10,1.6e-06,4.4e-07,MBA,"Otto Matic",47613,1894-11-01,2025-03-12,5287,,,0,.3571,,,,,,,,,
20001139,"  1139 Atami (1929 XE)",1139,Atami,,N,N,1,12.55,,,,,,,,,,27.446,,0.920,0.497,,S,S,,,"JPL 101",2460800.5,60800,2025-05-05.0,J2000,0.2557,1.947,1.449,13.09,213.29,206.74,46.10,2.45,0.3627,2460673.38,2024-12-28.8,993,2.72,0.471,183,2.94,3.82,8.5e-10,4.0e-10,1.6e-09,4.7e-08,2.7e-07,2.4e-07,3.7e-07,5.0e-10,1.1e-10,9.9e-07,3.0e-07,MCA,"Otto Matic",34801,1929-12-01,2025-03-13,5058,,,0,.33819,,,,,,,,,
20001313,"  1313 Berna (1933 QG)",1313,Berna,,N,N,1,11.67,,,,,,,13.504,,0.185,25.46,,,,,,,,0.31,"JPL 108",2460800.5,60800,2025-05-05.0,J2000,0.2070,2.657,2.107,12.56,298.08,100.37,21.72,3.21,0.2276,2460705.06,2025-01-29.5,1.58e+03,4.33,1.16,450,2.36,3.32,4.8e-10,8.1e-10,1.4e-09,3.7e-08,1.8e-07,3.2e-07,5.1e-07,9.8e-10,1.0e-10,2.2e-06,7.3e-07,MBA,"Otto Matic",33427,1933-08-24,2025-03-01,10589,,,0,.25254,,,,,,,,,
20001338,"  1338 Duponta (1934 XA)",1338,Duponta,,N,N,1,12.80,,,,,,,7.470,,0.251,3.85453,,,,,,,,0.11,"JPL 65",2460800.5,60800,2025-05-05.0,J2000,0.1120,2.264,2.011,4.81,325.48,110.63,193.13,2.52,0.2893,2461377.38,2026-12-02.8,1.24e+03,3.41,1.03,401,2.69,3.6,6.0e-10,3.8e-10,1.4e-09,2.4e-08,4.2e-07,4.8e-07,2.6e-07,4.2e-10,7.2e-11,9.7e-07,3.1e-07,MBA,"Otto Matic",32949,1934-12-04,2025-02-18,8063,,,0,.33082,,,,,,,,,
20001453,"  1453 Fennia (1938 ED1)",1453,Fennia,,N,N,1,12.49,,,,,,,6.573,,0.409,4.4121,,0.928,0.532,,,S,,0.24,"JPL 56",2460800.5,60800,2025-05-05.0,J2000,0.0285,1.897,1.843,23.67,7.05,254.81,49.06,1.95,0.3772,2460670.44,2024-12-25.9,954,2.61,0.877,341,3.05,3.85,5.4e-10,2.9e-10,1.2e-09,4.2e-08,1.0e-07,1.2e-06,1.1e-06,2.9e-10,8.5e-11,2.9e-06,2.2e-07,IMB,"Otto Matic",31525,1938-04-02,2024-07-24,4238,,,0,.36449,,,,,,,,,
20001480,"  1480 Aunus (1938 DK)",1480,Aunus,,N,N,1,13.22,,,,,,,6.385,,0.257,5.16,,,,,S,,,0.07,"JPL 59",2460800.5,60800,2025-05-05.0,J2000,0.1093,2.202,1.961,4.86,63.58,65.59,267.19,2.44,0.3017,2461108.15,2026-03-08.6,1.19e+03,3.27,0.982,382,2.6,3.65,5.7e-10,3.5e-10,1.3e-09,5.1e-08,3.1e-07,5.0e-07,4.5e-07,3.8e-10,7.1e-11,1.5e-06,2.8e-07,MBA,"Otto Matic",30672,1940-12-28,2024-12-19,6689,,,0,.32512,,,,,,,,,
20001509,"  1509 Esclangona (1938 YG)",1509,Esclangona,,N,N,1,12.68,,,,,,,8.17,,0.2327,3.25283,,0.894,0.472,,,S,,0.60,"JPL 93",2460800.5,60800,2025-05-05.0,J2000,0.0324,1.866,1.806,22.32,283.48,267.67,227.72,1.93,0.3866,2461142.69,2026-04-12.1,931,2.55,0.845,329,3.23,3.9,5.4e-10,2.1e-10,1.0e-09,3.6e-08,6.6e-08,7.9e-07,9.0e-07,2.1e-10,6.4e-11,2.4e-06,1.5e-07,IMB,"Otto Matic",31455,1938-12-21,2025-02-02,7621,,,0,.34684,,,,,,,,,
